3294,94572724205376,75
20063,94572724205376,449
21262,94572724205376,514
2949,94572724205376,43
2383,94572724205376,672
7340,94572724205376,130
74622,94572724205376,1836
8505,94572724205376,183
10176,94572724205376,3131
6193,94572724205376,138
17772,94572724205376,8555
10365,94572724205376,4405
53621,94572724205376,26983
3294,3135,59
20063,20371,1076
21262,21729,633
2949,3134,42
2383,2504,494
7340,7504,96
74622,91587,1904
8505,8692,145
10176,10765,2784
6193,6175,122
17772,19260,8215
10365,10916,4585
53621,59526,25944
