3294,94572724205376,711
20063,94572724205376,5188
21262,94572724205376,7110
2949,94572724205376,753
2383,94572724205376,612
7340,94572724205376,1553
74622,94572724205376,24494
8505,94572724205376,2405
10176,94572724205376,2498
6193,94572724205376,1534
17772,94572724205376,6028
10365,94572724205376,3222
53621,94572724205376,19300
3294,3135,676
20063,20371,4939
21262,21729,4995
2949,3134,689
2383,2504,583
7340,7504,1272
74622,91587,26202
8505,8692,1731
10176,10765,2764
6193,6175,1176
17772,19260,5492
10365,10916,2126
53621,59526,16980
